13,CPLEX Default,lunghezza crescente,score somma crescente,score medio crescente,lunghezza crescente duplicati in cima,score somma crescente duplicati in cima,score medio crescente duplicati in cima,lunghezza decrescente,score somma decrescente,score medio decrescente,lunghezza decrescente duplicati in cima,score somma decrescente duplicati in cima,score medio decrescente duplicati in cima
../Dataset/ReducedLP/scpclr11_reduced.lp,1268.873633,1392.607582,1315.429988,1386.553694,1392.951319,1388.856007,1391.416356,1590.981343,1653.607047,1340.9428779999998,2000.578146,1996.3214469999998,2000.5478510000003
../Dataset/ReducedLP/scpclr11_reduced.lp,1284.35075,1758.2309010000001,1693.710686,2021.2572100000002,1758.4289440000002,1757.64443,1759.246013,1908.2915460000002,2158.876737,1847.013861,3295.1744489999996,3297.4724579999997,3303.201069
../Dataset/ReducedLP/scpclr11_reduced.lp,1413.874656,1516.152327,1544.3349210000001,1541.805088,1517.720342,1516.665088,1515.1271279999999,1690.59516,1996.1897399999998,1511.63094,3227.345133,1677.508811,1680.1529859999998
../Dataset/ReducedLP/scpclr11_reduced.lp,1386.028523,1729.5465780000002,1493.349178,1520.661077,1731.391544,1730.2298920000003,1728.631327,1493.449437,1600.557717,1393.062355,1794.3685850000002,1795.9014379999999,1797.280416
../Dataset/ReducedLP/scpclr11_reduced.lp,1651.007369,1439.699002,1500.503616,1918.392491,1439.6809970000002,1444.3841109999998,1439.4708460000002,1722.8568280000002,2028.2136269999999,1421.243734,2292.2765010000003,2294.622493,2290.488727
../Dataset/ReducedLP/scpd1_reduced.lp,0.971398,0.881158,0.531936,1.0096319999999999,0.50649,0.506966,0.508922,0.48733000000000004,0.488804,0.49142399999999997,0.511513,0.96986,0.9681290000000001
../Dataset/ReducedLP/scpd1_reduced.lp,0.8557790000000001,0.49501300000000004,0.497433,0.486389,0.49716800000000005,0.496191,0.495565,0.502278,0.5068590000000001,0.483893,0.49627,0.498596,0.496492
../Dataset/ReducedLP/scpd1_reduced.lp,0.4501310000000001,0.49103100000000005,0.523312,0.484991,0.49459,0.9329129999999999,0.9320709999999999,0.480712,0.49072299999999996,0.487177,0.485888,0.487371,0.48855600000000005
../Dataset/ReducedLP/scpd1_reduced.lp,0.434192,0.488497,0.48652799999999996,0.474076,0.48976499999999995,0.48877600000000004,0.48698199999999997,0.484279,0.477204,0.473792,0.49902799999999997,0.501216,0.501037
../Dataset/ReducedLP/scpd1_reduced.lp,0.449256,0.498313,0.49945200000000006,0.49365699999999996,0.505811,0.5026430000000001,0.501628,0.502638,0.48973,0.48566400000000004,0.5009399999999999,0.502207,0.499825
../Dataset/ReducedLP/scpd1_reduced.lp,1.036398,0.404391,0.755842,0.7454109999999999,0.420824,0.795407,0.794817,0.42682700000000007,0.399726,0.403428,0.41804600000000003,0.42008,0.420149
