13,CPLEX Default,lunghezza crescente,score reduced costs somma crescente,score reduced costs medio crescente,lunghezza crescente duplicati in cima,score reduced costs somma crescente duplicati in cima,score reduced costs medio crescente duplicati in cima,lunghezza decrescente,score reduced costs somma decrescente,score reduced costs medio decrescente,lunghezza decrescente duplicati in cima,score reduced costs somma decrescente duplicati in cima,score reduced costs medio decrescente duplicati in cima
../Dataset/ReducedLP/scpnrf2_reduced.lp,20923,18401,18022,20801,18373,18022,20801,18214,20212,20267,20376,20212,20267
../Dataset/ReducedLP/scpnrf3_reduced.lp,10367,4668,14614,11636,4668,14614,11636,9739,21375,13985,9739,21375,13985
../Dataset/ReducedLP/scpnrf3_reduced.lp,4090,3632,3726,3914,3632,3726,3914,4269,3356,3616,4269,3356,3616
../Dataset/ReducedLP/scpnrf3_reduced.lp,10671,16051,10352,22938,16051,10352,22938,9268,4158,3804,9268,4158,3804
../Dataset/ReducedLP/scpnrf3_reduced.lp,7180,11684,3919,5813,11684,3919,5813,4831,3970,21807,4831,3970,21807
../Dataset/ReducedLP/scpnrf3_reduced.lp,12451,13098,15562,21045,13098,15562,21045,26690,4570,13672,26690,4570,13672
../Dataset/ReducedLP/scpnrf3_reduced.lp,4664,3714,3569,4088,3714,3569,4088,3744,3143,3615,3744,3143,3615
../Dataset/ReducedLP/scpnrf3_reduced.lp,20403,19953,15462,21072,19953,15462,21072,9010,7027,23530,9010,7027,23530
../Dataset/ReducedLP/scpnrf3_reduced.lp,4188,3347,3690,4095,3347,3690,4095,4640,3570,3963,4640,3570,3963
../Dataset/ReducedLP/scpnrf3_reduced.lp,5190,5423,9522,10562,5423,9522,10562,5566,9018,9848,5566,9018,9848
../Dataset/ReducedLP/scpnrf3_reduced.lp,4270,3283,3362,3379,3283,3362,3379,3396,3746,4020,3396,3746,4020
../Dataset/ReducedLP/scpnrf4_reduced.lp,64893,71457,70840,64446,71457,70840,64446,67944,71887,70652,67944,71887,70652
../Dataset/ReducedLP/scpnrf4_reduced.lp,98179,63913,77607,66240,63913,77607,66240,73714,79639,69044,73714,79639,69044
../Dataset/ReducedLP/scpnrf4_reduced.lp,57914,77236,95030,65030,77236,95030,65030,65872,61980,57943,65872,61980,57943
../Dataset/ReducedLP/scpnrf4_reduced.lp,63332,60477,64110,70643,60477,64110,70643,89425,100085,75810,89425,100085,75810
../Dataset/ReducedLP/scpnrf4_reduced.lp,68638,74396,94594,62661,74396,94594,62661,63318,75709,77752,63318,75709,77752
../Dataset/ReducedLP/scpnrf4_reduced.lp,72027,71346,67878,58967,71346,67878,58967,95089,80649,65752,95089,80649,65752
../Dataset/ReducedLP/scpnrf4_reduced.lp,57583,72092,59457,58890,72092,59457,58890,73225,64321,57945,73225,64321,57945
../Dataset/ReducedLP/scpnrf4_reduced.lp,70799,62922,64235,61926,62922,64235,61926,72429,67023,57734,72429,67023,57734
../Dataset/ReducedLP/scpnrf4_reduced.lp,60386,61576,66749,170851,61576,66749,170851,73683,66063,125817,73683,66063,125817
../Dataset/ReducedLP/scpnrf4_reduced.lp,66894,72373,79686,65351,72373,79686,65351,75080,59186,82229,75080,59186,82229
../Dataset/ReducedLP/scpnrf5_reduced.lp,76543,50736,64079,60448,50736,64079,60448,281562,71373,89288,281562,71373,89288
../Dataset/ReducedLP/scpnrf5_reduced.lp,88434,389421,51233,49957,389421,51233,49957,129147,262566,49682,129147,262566,49682
../Dataset/ReducedLP/scpnrf5_reduced.lp,76428,64563,122860,65148,64563,122860,65148,81983,54729,65601,81983,54729,65601
../Dataset/ReducedLP/scpnrf5_reduced.lp,61145,51011,96297,56032,51011,96297,56032,82825,44868,67821,82825,44868,67821
../Dataset/ReducedLP/scpnrf5_reduced.lp,112317,283666,52641,56478,283666,52641,56478,80949,57543,67060,80949,57543,67060
../Dataset/ReducedLP/scpnrf5_reduced.lp,57128,48637,80479,71764,48637,80479,71764,353689,59878,92405,353689,59878,92405
../Dataset/ReducedLP/scpnrf5_reduced.lp,59384,81379,257710,111941,81379,257710,111941,163677,72012,69226,163677,72012,69226
../Dataset/ReducedLP/scpnrf5_reduced.lp,69980,46518,72507,99575,46518,72507,99575,105175,56396,51273,105175,56396,51273
../Dataset/ReducedLP/scpnrf5_reduced.lp,286647,50930,57950,53853,50930,57950,53853,65429,65539,45251,65429,65539,45251
../Dataset/ReducedLP/scpnrf5_reduced.lp,52829,49663,106093,74020,49663,106093,74020,61219,70528,48740,61219,70528,48740
../Dataset/ReducedLP/scpnrg1_reduced.lp,1858812,1678634,1670636,1009397,2272407,2278161,2279403,2210494,2047938,1683538,2306053,2312628,2298130
../Dataset/ReducedLP/scpnrg1_reduced.lp,1822250,2293536,2362965,2344372,2076612,2076612,2076612,2233760,2232979,1772537,2150997,2120757,2108575
../Dataset/ReducedLP/scpnrg1_reduced.lp,2476346,2230778,2067687,2067802,2315470,2315470,2315470,2251082,2192061,1886964,2328836,2328836,2328836
../Dataset/ReducedLP/scpnrg1_reduced.lp,2138117,2300290,2226612,2232423,2163203,2163203,2163203,2365918,2302029,1962090,2291479,2291479,2291479
../Dataset/ReducedLP/scpnrg1_reduced.lp,2212276,2231390,2176342,2184053,2189260,2189260,2189260,2181930,2149626,1756984,2166546,2166546,2166546
../Dataset/ReducedLP/scpnrg1_reduced.lp,1850854,2051676,1977276,1979700,2071878,2074100,2073994,2055926,1937213,1685036,2129000,2124900,2119701
../Dataset/ReducedLP/scpnrg1_reduced.lp,2447778,2256441,2196808,2196808,1593734,2370176,2370176,2108537,2096466,1801894,2232131,2232131,2232131
../Dataset/ReducedLP/scpnrg1_reduced.lp,2323266,1840597,2280191,2280191,2370176,1593734,1593734,2285043,2124525,1516984,2375215,2375838,2375838
../Dataset/ReducedLP/scpnrg1_reduced.lp,2383678,2336195,2081450,2076006,2108024,2111254,2110552,2130572,2026091,1649134,993397,2297401,2297401
../Dataset/ReducedLP/scpnrg1_reduced.lp,2390937,2156729,2219925,2219925,1945826,1944292,1945927,2151257,2037338,1827827,1030399,2215081,2220126
../Dataset/ReducedLP/scpnrg2_reduced.lp,289150,1837993,1678904,1678904,313259,2116139,2116139,1991629,2483864,1301105,858768,858768,858768
../Dataset/ReducedLP/scpnrg2_reduced.lp,1376563,1029666,1987859,1987859,1563113,1563113,1563113,817313,1054134,1407878,933817,933817,933817
../Dataset/ReducedLP/scpnrg2_reduced.lp,1422496,297745,293593,293593,2116139,313259,313259,621528,299471,357574,297955,297955,297955
