11,CPLEX Default,lunghezza crescente,score reduced costs somma crescente,score reduced costs medio crescente,lunghezza crescente duplicati in cima,score reduced costs somma crescente duplicati in cima,score reduced costs medio crescente duplicati in cima,score reduced costs somma decrescente,score reduced costs medio decrescente,score reduced costs somma decrescente duplicati in cima,score reduced costs medio decrescente duplicati in cima
../Dataset/ReducedLP/scpnre4_reduced.lp,43572,74948,116416,116416,117444,117444,117444,44432,54987,72062,72062
../Dataset/ReducedLP/scpnre5_reduced.lp,9649,8610,9517,9517,8349,8349,8349,8385,10715,7680,7680
../Dataset/ReducedLP/scpnre5_reduced.lp,9131,9083,10161,10161,8539,8539,8539,8721,9976,8080,8080
../Dataset/ReducedLP/scpnre5_reduced.lp,8782,8091,9146,9146,8526,8526,8526,8899,8811,8483,8483
../Dataset/ReducedLP/scpnre5_reduced.lp,10193,9468,10016,10016,9393,9393,9393,9044,9406,9031,9031
../Dataset/ReducedLP/scpnre5_reduced.lp,8961,8849,11208,11208,9950,9950,9950,8686,10312,8132,8132
../Dataset/ReducedLP/scpnre5_reduced.lp,9913,10462,10175,10175,9357,9357,9357,9619,8725,10204,10204
../Dataset/ReducedLP/scpnre5_reduced.lp,10052,9208,10657,10657,8323,8323,8323,8831,8469,9490,9490
../Dataset/ReducedLP/scpnre5_reduced.lp,9627,8761,10699,10699,8856,8856,8856,10006,8534,9078,9078
../Dataset/ReducedLP/scpnre5_reduced.lp,8738,8749,9533,9533,8251,8251,8251,8816,8876,8434,8434
../Dataset/ReducedLP/scpnre5_reduced.lp,8555,8623,10414,10414,9854,9854,9854,9115,8915,9068,9068
../Dataset/ReducedLP/scpnrf1_reduced.lp,36044,39845,38511,43679,39845,38985,43996,49798,35234,47608,35234
../Dataset/ReducedLP/scpnrf1_reduced.lp,42040,38782,33962,34773,32559,35159,34920,44778,28358,43220,28008
../Dataset/ReducedLP/scpnrf1_reduced.lp,44720,34114,43502,45068,30028,43804,47048,44851,32224,44810,32770
../Dataset/ReducedLP/scpnrf1_reduced.lp,39662,30433,37442,46395,31414,36029,43234,46352,36461,44668,35963
../Dataset/ReducedLP/scpnrf1_reduced.lp,43380,36644,46640,44881,36400,41378,45614,40175,38341,39407,35108
../Dataset/ReducedLP/scpnrf1_reduced.lp,37575,30562,33479,38404,37631,33459,39870,39714,28141,39714,28422
../Dataset/ReducedLP/scpnrf1_reduced.lp,41231,32707,39463,36513,33135,34387,38881,54257,32300,46082,32232
../Dataset/ReducedLP/scpnrf1_reduced.lp,39250,39539,49478,51081,40672,49050,51483,44401,32894,46730,32662
../Dataset/ReducedLP/scpnrf1_reduced.lp,47553,39217,32794,42043,39376,34548,42718,52165,31929,51538,31858
../Dataset/ReducedLP/scpnrf1_reduced.lp,36316,32218,46488,44511,31978,42971,39960,53765,37740,55912,34017
../Dataset/ReducedLP/scpnrf2_reduced.lp,23562,19918,21137,22155,19684,21137,22155,19571,15558,19571,15558
../Dataset/ReducedLP/scpnrf2_reduced.lp,21766,19856,23114,21735,19539,23114,21735,22609,19448,22609,19448
../Dataset/ReducedLP/scpnrf2_reduced.lp,19286,19621,22585,21171,19787,22585,21171,22320,18545,22320,18545
../Dataset/ReducedLP/scpnrf2_reduced.lp,20784,16059,20709,16983,18772,20709,16983,20196,15982,19988,15982
../Dataset/ReducedLP/scpnrf2_reduced.lp,21594,19883,24978,22524,19892,24978,22524,24155,19430,24155,19430
../Dataset/ReducedLP/scpnrf2_reduced.lp,20017,18596,20389,19193,18741,20389,19216,27360,18193,27339,18193
../Dataset/ReducedLP/scpnrf2_reduced.lp,21770,20299,23340,23845,19967,23208,23845,20621,18505,20682,18505
