4,CPLEX Default,par = 1.5,par = 2.0,par = 5.0
../Dataset/ReducedLP/scpnre5_reduced.lp,8.652246,39.663667,36.967139,35.164008
../Dataset/ReducedLP/scpnre5_reduced.lp,4.454948,34.328272,38.747377,41.696243
../Dataset/ReducedLP/scpnre5_reduced.lp,4.901354,41.34305,36.7596,38.492322
../Dataset/ReducedLP/scpnre5_reduced.lp,4.558058,36.82911,65.236337,37.232981
../Dataset/ReducedLP/scpnre5_reduced.lp,4.54366,34.64976,32.8781,34.306675
../Dataset/ReducedLP/scpnrf1_reduced.lp,10.946119,293.8566620000001,283.541848,323.526927
../Dataset/ReducedLP/scpnrf1_reduced.lp,10.745329,363.112852,374.311609,380.502816
../Dataset/ReducedLP/scpnrf1_reduced.lp,11.954162,311.4841160000001,290.609333,318.05869
../Dataset/ReducedLP/scpnrf1_reduced.lp,12.256882,263.814881,335.649201,334.755305
../Dataset/ReducedLP/scpnrf1_reduced.lp,10.909639,372.027117,327.362748,337.692379
../Dataset/ReducedLP/scpnrf1_reduced.lp,13.492889000000002,297.646661,277.972162,308.14684
../Dataset/ReducedLP/scpnrf1_reduced.lp,13.711997,305.359608,273.984462,316.5314370000001
../Dataset/ReducedLP/scpnrf1_reduced.lp,11.620393,362.462006,321.712985,348.593836
../Dataset/ReducedLP/scpnrf1_reduced.lp,10.764703,273.893633,545.478225,314.851985
../Dataset/ReducedLP/scpnrf1_reduced.lp,12.321552,291.57703,306.498482,368.543324
../Dataset/ReducedLP/scpnrf2_reduced.lp,6.661983,179.386374,157.753127,166.453851
../Dataset/ReducedLP/scpnrf2_reduced.lp,7.203105,175.613747,197.047109,288.415971
../Dataset/ReducedLP/scpnrf2_reduced.lp,7.273211,170.798947,169.319367,159.366151
../Dataset/ReducedLP/scpnrf2_reduced.lp,6.7291789999999985,182.301567,173.152609,165.325917
../Dataset/ReducedLP/scpnrf2_reduced.lp,6.446388,152.616641,162.93938899999995,177.468225
../Dataset/ReducedLP/scpnrf2_reduced.lp,12.711297,168.261544,177.78761,189.340393
../Dataset/ReducedLP/scpnrf2_reduced.lp,6.119349,139.151667,152.225314,147.16171
../Dataset/ReducedLP/scpnrf2_reduced.lp,6.819089999999999,144.3903,141.238888,156.299599
../Dataset/ReducedLP/scpnrf2_reduced.lp,7.151145,140.825059,168.230599,179.314169
../Dataset/ReducedLP/scpnrf2_reduced.lp,7.0551210000000015,174.412623,168.279138,190.719668
../Dataset/ReducedLP/scpnrf3_reduced.lp,3.470921,33.696169,35.787305,40.31433300000001
../Dataset/ReducedLP/scpnrf3_reduced.lp,5.2968769999999985,218.980317,50.475322,87.135954
../Dataset/ReducedLP/scpnrf3_reduced.lp,8.398074000000001,242.022712,261.491386,259.210684
../Dataset/ReducedLP/scpnrf3_reduced.lp,3.19636,60.840472,33.577783000000004,36.156903
../Dataset/ReducedLP/scpnrf3_reduced.lp,3.310504,37.561674,37.077275,40.07293
../Dataset/ReducedLP/scpnrf3_reduced.lp,5.495189,125.92048,93.181298,202.26844
../Dataset/ReducedLP/scpnrf3_reduced.lp,3.720284,234.101033,99.478227,159.499432
../Dataset/ReducedLP/scpnrf3_reduced.lp,4.248268,114.719283,34.348319000000004,255.510053
../Dataset/ReducedLP/scpnrf3_reduced.lp,3.242931,34.555097,34.872613,35.66748
../Dataset/ReducedLP/scpnrf3_reduced.lp,5.846277,154.068067,150.361458,248.947835
../Dataset/ReducedLP/scpnrf4_reduced.lp,21.756427,495.194567,476.959568,717.3120769999998
../Dataset/ReducedLP/scpnrf4_reduced.lp,20.577622,534.258107,557.359925,1177.225948
../Dataset/ReducedLP/scpnrf4_reduced.lp,17.607744,531.5196,603.010132,1239.434792
../Dataset/ReducedLP/scpnrf4_reduced.lp,29.45325,575.151263,578.501281,691.8639519999998
../Dataset/ReducedLP/scpnrf4_reduced.lp,21.060165,807.314295,583.7358009999998,678.7204059999998
../Dataset/ReducedLP/scpnrf4_reduced.lp,19.530296,555.062858,557.796923,1240.892714
../Dataset/ReducedLP/scpnrf4_reduced.lp,19.375892,700.14413,970.806613,1166.1429970000004
